日期,時間,類型,狀態,幣別,總額,費用,淨額,運費和處理費金額,主旨
2021/5/31,06:12:37,購物車物品,已完成,TWD,0 ,,,,官網交易 - 10194569
2021/5/31,06:12:37,購物車物品,已完成,TWD,"2,670 ",,,,官網交易 - 10194569
2021/5/31,06:12:37,購物車物品,已完成,TWD,"1,180 ",,,,官網交易 - 10194569
2021/5/31,06:12:37,購物車物品,已完成,TWD,(246),,,,官網交易 - 10194569
2021/6/10,23:25:39,快速結帳付款,已完成,TWD,"2,798 ",(133),"2,665 ",211 ,官網交易 - 10195140
2021/6/10,23:25:39,購物車物品,已完成,TWD,590 ,,,,官網交易 - 10195140
2021/6/10,23:25:39,購物車物品,已完成,TWD,890 ,,,,官網交易 - 10195140
2021/6/10,23:25:39,購物車物品,已完成,TWD,0 ,,,,官網交易 - 10195140
2021/6/10,23:25:39,購物車物品,已完成,TWD,690 ,,,,官網交易 - 10195140
2021/6/10,23:25:39,購物車物品,已完成,TWD,650 ,,,,官網交易 - 10195140
2021/6/10,23:25:39,購物車物品,已完成,TWD,(233),,,,官網交易 - 10195140
2021/6/11,11:31:23,快速結帳付款,已完成,TWD,"4,484 ",(207),"4,277 ",526 ,官網交易 - 10195270
2021/6/11,11:31:23,購物車物品,已完成,TWD,"2,670 ",,,,官網交易 - 10195270
2021/6/11,11:31:23,購物車物品,已完成,TWD,"1,380 ",,,,官網交易 - 10195270
2021/6/11,11:31:23,購物車物品,已完成,TWD,790 ,,,,官網交易 - 10195270
2021/6/11,11:31:23,購物車物品,已完成,TWD,(882),,,,官網交易 - 10195270
2021/6/11,11:47:38,快速結帳付款,已完成,TWD,"4,611 ",(213),"4,398 ","1,278 ",官網交易 - 10195303
2021/6/11,11:47:38,購物車物品,已完成,TWD,550 ,,,,官網交易 - 10195303
2021/6/11,11:47:38,購物車物品,已完成,TWD,590 ,,,,官網交易 - 10195303
2021/6/11,11:47:38,購物車物品,已完成,TWD,780 ,,,,官網交易 - 10195303
2021/6/11,11:47:38,購物車物品,已完成,TWD,"1,380 ",,,,官網交易 - 10195303
2021/6/11,11:47:38,購物車物品,已完成,TWD,790 ,,,,官網交易 - 10195303
2021/6/11,11:47:38,購物車物品,已完成,TWD,(757),,,,官網交易 - 10195303
2021/6/11,17:53:08,快速結帳付款,已完成,TWD,"2,053 ",(100),"1,953 ",155 ,官網交易 - 10195568
2021/6/11,17:53:08,購物車物品,已完成,TWD,550 ,,,,官網交易 - 10195568
2021/6/11,17:53:08,購物車物品,已完成,TWD,650 ,,,,官網交易 - 10195568
2021/6/11,17:53:08,購物車物品,已完成,TWD,"1,180 ",,,,官網交易 - 10195568
2021/6/11,17:53:08,購物車物品,已完成,TWD,(482),,,,官網交易 - 10195568
2021/6/12,15:09:43,快速結帳付款,已完成,TWD,"8,497 ",(384),"8,113 ",211 ,官網交易 - 10195896
2021/6/12,15:09:43,購物車物品,已完成,TWD,"4,550 ",,,,官網交易 - 10195896
2021/6/12,15:09:43,購物車物品,已完成,TWD,790 ,,,,官網交易 - 10195896
2021/6/12,15:09:43,購物車物品,已完成,TWD,"1,080 ",,,,官網交易 - 10195896
2021/6/12,15:09:43,購物車物品,已完成,TWD,"1,780 ",,,,官網交易 - 10195896
2021/6/12,15:09:43,購物車物品,已完成,TWD,750 ,,,,官網交易 - 10195896
2021/6/12,15:09:43,購物車物品,已完成,TWD,"1,180 ",,,,官網交易 - 10195896
2021/6/12,15:09:43,購物車物品,已完成,TWD,"(1,844)",,,,官網交易 - 10195896
2021/6/13,16:16:27,快速結帳付款,已完成,TWD,"3,079 ",(145),"2,934 ",155 ,官網交易 - 10196192
2021/6/13,16:16:27,購物車物品,已完成,TWD,650 ,,,,官網交易 - 10196192
2021/6/13,16:16:27,購物車物品,已完成,TWD,"1,780 ",,,,官網交易 - 10196192
2021/6/13,16:16:27,購物車物品,已完成,TWD,980 ,,,,官網交易 - 10196192
2021/6/13,16:16:27,購物車物品,已完成,TWD,(486),,,,官網交易 - 10196192
2021/6/13,22:38:28,快速結帳付款,已完成,TWD,"3,630 ",(170),"3,460 ",255 ,官網交易 - 10196281
2021/6/13,22:38:28,購物車物品,已完成,TWD,650 ,,,,官網交易 - 10196281
2021/6/13,22:38:28,購物車物品,已完成,TWD,690 ,,,,官網交易 - 10196281
2021/6/13,22:38:28,購物車物品,已完成,TWD,"1,780 ",,,,官網交易 - 10196281
2021/6/13,22:38:28,購物車物品,已完成,TWD,790 ,,,,官網交易 - 10196281
2021/6/13,22:38:28,購物車物品,已完成,TWD,(535),,,,官網交易 - 10196281
2021/6/14,02:26:31,快速結帳付款,已完成,TWD,"4,406 ",(204),"4,202 ",255 ,官網交易 - 10196344
2021/6/14,02:26:31,購物車物品,已完成,TWD,"1,180 ",,,,官網交易 - 10196344
2021/6/14,02:26:31,購物車物品,已完成,TWD,980 ,,,,官網交易 - 10196344
2021/6/14,02:26:31,購物車物品,已完成,TWD,"2,670 ",,,,官網交易 - 10196344
2021/6/14,02:26:31,購物車物品,已完成,TWD,(679),,,,官網交易 - 10196344
2021/6/14,11:19:44,快速結帳付款,已完成,TWD,"1,609 ",(81),"1,528 ",155 ,官網交易 - 10196376
2021/6/14,11:19:44,購物車物品,已完成,TWD,750 ,,,,官網交易 - 10196376
2021/6/14,11:19:44,購物車物品,已完成,TWD,980 ,,,,官網交易 - 10196376
2021/6/14,11:19:44,購物車物品,已完成,TWD,(276),,,,官網交易 - 10196376
2021/6/15,01:39:34,快速結帳付款,已完成,TWD,"3,900 ",(182),"3,718 ",255 ,官網交易 - 10196597
2021/6/15,01:39:34,購物車物品,已完成,TWD,650 ,,,,官網交易 - 10196597
2021/6/15,01:39:34,購物車物品,已完成,TWD,"2,940 ",,,,官網交易 - 10196597
2021/6/15,01:39:34,購物車物品,已完成,TWD,890 ,,,,官網交易 - 10196597
2021/6/15,01:39:34,購物車物品,已完成,TWD,(835),,,,官網交易 - 10196597
2021/6/15,13:07:34,快速結帳付款,已完成,TWD,"8,093 ",(366),"7,727 ",696 ,官網交易 - 10196648
2021/6/15,13:07:34,購物車物品,已完成,TWD,"2,360 ",,,,官網交易 - 10196648
2021/6/15,13:07:34,購物車物品,已完成,TWD,"4,140 ",,,,官網交易 - 10196648
2021/6/15,13:07:34,購物車物品,已完成,TWD,"3,000 ",,,,官網交易 - 10196648
2021/6/15,13:07:34,購物車物品,已完成,TWD,"(2,103)",,,,官網交易 - 10196648
2021/6/15,16:40:08,快速結帳付款,已完成,TWD,"5,515 ",(253),"5,262 ",255 ,官網交易 - 10196692
2021/6/15,16:40:08,購物車物品,已完成,TWD,"2,670 ",,,,官網交易 - 10196692
2021/6/15,16:40:08,購物車物品,已完成,TWD,"1,770 ",,,,官網交易 - 10196692
2021/6/15,16:40:08,購物車物品,已完成,TWD,690 ,,,,官網交易 - 10196692
2021/6/15,16:40:08,購物車物品,已完成,TWD,980 ,,,,官網交易 - 10196692
2021/6/15,16:40:08,購物車物品,已完成,TWD,(850),,,,官網交易 - 10196692
2021/6/15,22:04:37,快速結帳付款,已完成,TWD,"1,949 ",(96),"1,853 ",155 ,官網交易 - 10196753
2021/6/15,22:04:37,購物車物品,已完成,TWD,650 ,,,,官網交易 - 10196753
2021/6/15,22:04:37,購物車物品,已完成,TWD,"1,500 ",,,,官網交易 - 10196753
2021/6/15,22:04:37,購物車物品,已完成,TWD,(356),,,,官網交易 - 10196753
2021/6/15,23:46:24,快速結帳付款,已完成,TWD,"3,207 ",(151),"3,056 ",253 ,官網交易 - 10196790
2021/6/15,23:46:24,購物車物品,已完成,TWD,"1,180 ",,,,官網交易 - 10196790
2021/6/15,23:46:24,購物車物品,已完成,TWD,"1,180 ",,,,官網交易 - 10196790
2021/6/15,23:46:24,購物車物品,已完成,TWD,"1,080 ",,,,官網交易 - 10196790
2021/6/15,23:46:24,購物車物品,已完成,TWD,(486),,,,官網交易 - 10196790
2021/6/16,21:29:04,快速結帳付款,已完成,TWD,"3,734 ",(174),"3,560 ",255 ,官網交易 - 10196963
2021/6/16,21:29:04,購物車物品,已完成,TWD,0 ,,,,官網交易 - 10196963
2021/6/16,21:29:04,購物車物品,已完成,TWD,"1,780 ",,,,官網交易 - 10196963
2021/6/16,21:29:04,購物車物品,已完成,TWD,"1,960 ",,,,官網交易 - 10196963
2021/6/16,21:29:04,購物車物品,已完成,TWD,(261),,,,官網交易 - 10196963
2021/6/17,02:00:31,快速結帳付款,已完成,TWD,"1,923 ",(95),"1,828 ",155 ,官網交易 - 10196974
2021/6/17,02:00:31,購物車物品,已完成,TWD,550 ,,,,官網交易 - 10196974
2021/6/17,02:00:31,購物車物品,已完成,TWD,"1,180 ",,,,官網交易 - 10196974
2021/6/17,02:00:31,購物車物品,已完成,TWD,38 ,,,,官網交易 - 10196974
2021/6/17,15:57:57,一般付款,已完成,HKD,"(2,207)",0 ,"(2,207)",,
2021/6/17,15:57:57,一般貨幣轉換,已完成,TWD,"(8,237)",0 ,"(8,237)",,
2021/6/17,15:57:57,一般貨幣轉換,已完成,HKD,"2,207 ",0 ,"2,207 ",,
2021/6/19,20:35:22,訂閱付款,已完成,USD,(12),0 ,(12),0 ,Grids License
2021/6/19,20:35:22,購物車物品,已完成,USD,12 ,,,,Grids License
2021/6/19,20:35:22,一般貨幣轉換,已完成,TWD,(350),0 ,(350),0 ,
2021/6/19,20:35:22,購物車物品,已完成,USD,12 ,,,,
2021/6/19,20:35:22,一般貨幣轉換,已完成,USD,12 ,0 ,12 ,0 ,
2021/6/19,20:35:22,購物車物品,已完成,USD,12 ,,,,
2021/6/22,20:29:43,快速結帳付款,已完成,TWD,"3,046 ",(144),"2,902 ",211 ,官網交易 - 10197205
2021/6/22,20:29:43,購物車物品,已完成,TWD,"1,770 ",,,,官網交易 - 10197205
2021/6/22,20:29:43,購物車物品,已完成,TWD,0 ,,,,官網交易 - 10197205
2021/6/22,20:29:43,購物車物品,已完成,TWD,"1,160 ",,,,官網交易 - 10197205
2021/6/22,20:29:43,購物車物品,已完成,TWD,(95),,,,官網交易 - 10197205
2021/6/23,07:37:40,快速結帳付款,已完成,TWD,"1,263 ",(66),"1,197 ",155 ,官網交易 - 10197234
2021/6/23,07:37:40,購物車物品,已完成,TWD,550 ,,,,官網交易 - 10197234
2021/6/23,07:37:40,購物車物品,已完成,TWD,590 ,,,,官網交易 - 10197234
2021/6/23,07:37:40,購物車物品,已完成,TWD,(32),,,,官網交易 - 10197234
2021/6/23,15:32:39,快速結帳付款,已完成,TWD,"2,157 ",(105),"2,052 ",155 ,官網交易 - 10197252
2021/6/23,15:32:39,購物車物品,已完成,TWD,0 ,,,,官網交易 - 10197252
2021/6/23,15:32:39,購物車物品,已完成,TWD,"1,960 ",,,,官網交易 - 10197252
2021/6/23,15:32:39,購物車物品,已完成,TWD,42 ,,,,官網交易 - 10197252
2021/6/25,13:48:27,訂閱付款,已完成,USD,(2),0 ,(2),0 ,Premium subscription for Instagram Tab
2021/6/25,13:48:27,購物車物品,已完成,USD,2 ,,,,Premium subscription for Instagram Tab
2021/6/25,13:48:27,一般貨幣轉換,已完成,TWD,(59),0 ,(59),0 ,
2021/6/25,13:48:27,購物車物品,已完成,USD,2 ,,,,
2021/6/25,13:48:27,一般貨幣轉換,已完成,USD,2 ,0 ,2 ,0 ,
2021/6/25,13:48:27,購物車物品,已完成,USD,2 ,,,,
2021/6/27,11:47:22,快速結帳付款,已完成,TWD,"4,545 ",(210),"4,335 ","1,278 ",官網交易 - 10197405
2021/6/27,11:47:22,購物車物品,已完成,TWD,780 ,,,,官網交易 - 10197405
2021/6/27,11:47:22,購物車物品,已完成,TWD,"1,380 ",,,,官網交易 - 10197405
2021/6/27,11:47:22,購物車物品,已完成,TWD,0 ,,,,官網交易 - 10197405
2021/6/27,11:47:22,購物車物品,已完成,TWD,590 ,,,,官網交易 - 10197405
2021/6/27,11:47:22,購物車物品,已完成,TWD,750 ,,,,官網交易 - 10197405
2021/6/27,11:47:22,購物車物品,已完成,TWD,(233),,,,官網交易 - 10197405
2021/6/29,16:13:07,已收到要求,已取消,HKD,"2,108 ",0 ,"2,108 ",,
